xc,omega,STFT_mag
   -1.859100, -3.9062500000E-01,  7.8622704481E+00
   -1.859100, -3.7500000000E-01,  7.8951465411E+00
   -1.859100, -3.5937500000E-01,  7.9268786786E+00
   -1.859100, -3.4375000000E-01,  7.9574432627E+00
   -1.859100, -3.2812500000E-01,  7.9868174620E+00
   -1.859100, -3.1250000000E-01,  8.0149792406E+00
   -1.859100, -2.9687500000E-01,  8.0419073872E+00
   -1.859100, -2.8125000000E-01,  8.0675815418E+00
   -1.859100, -2.6562500000E-01,  8.0919822228E+00
   -1.859100, -2.5000000000E-01,  8.1150908516E+00
   -1.859100, -2.3437500000E-01,  8.1368897775E+00
   -1.859100, -2.1875000000E-01,  8.1573623002E+00
   -1.859100, -2.0312500000E-01,  8.1764926918E+00
   -1.859100, -1.8750000000E-01,  8.1942662175E+00
   -1.859100, -1.7187500000E-01,  8.2106691547E+00
   -1.859100, -1.5625000000E-01,  8.2256888110E+00
   -1.859100, -1.4062500000E-01,  8.2393135410E+00
   -1.859100, -1.2500000000E-01,  8.2515327617E+00
   -1.859100, -1.0937500000E-01,  8.2623369661E+00
   -1.859100, -9.3750000000E-02,  8.2717177361E+00
   -1.859100, -7.8125000000E-02,  8.2796677532E+00
   -1.859100, -6.2500000000E-02,  8.2861808085E+00
   -1.859100, -4.6875000000E-02,  8.2912518108E+00
   -1.859100, -3.1250000000E-02,  8.2948767933E+00
   -1.859100, -1.5625000000E-02,  8.2970529187E+00
   -1.859100,  0.0000000000E+00,  8.2977784833E+00
   -1.859100,  1.5625000000E-02,  8.2970529187E+00
   -1.859100,  3.1250000000E-02,  8.2948767933E+00
   -1.859100,  4.6875000000E-02,  8.2912518108E+00
   -1.859100,  6.2500000000E-02,  8.2861808085E+00
   -1.859100,  7.8125000000E-02,  8.2796677532E+00
   -1.859100,  9.3750000000E-02,  8.2717177361E+00
   -1.859100,  1.0937500000E-01,  8.2623369661E+00
   -1.859100,  1.2500000000E-01,  8.2515327617E+00
   -1.859100,  1.4062500000E-01,  8.2393135410E+00
   -1.859100,  1.5625000000E-01,  8.2256888110E+00
   -1.859100,  1.7187500000E-01,  8.2106691547E+00
   -1.859100,  1.8750000000E-01,  8.1942662175E+00
   -1.859100,  2.0312500000E-01,  8.1764926918E+00
   -1.859100,  2.1875000000E-01,  8.1573623002E+00
   -1.859100,  2.3437500000E-01,  8.1368897775E+00
   -1.859100,  2.5000000000E-01,  8.1150908516E+00
   -1.859100,  2.6562500000E-01,  8.0919822228E+00
   -1.859100,  2.8125000000E-01,  8.0675815418E+00
   -1.859100,  2.9687500000E-01,  8.0419073872E+00
   -1.859100,  3.1250000000E-01,  8.0149792406E+00
   -1.859100,  3.2812500000E-01,  7.9868174620E+00
   -1.859100,  3.4375000000E-01,  7.9574432627E+00
   -1.859100,  3.5937500000E-01,  7.9268786786E+00
   -1.859100,  3.7500000000E-01,  7.8951465411E+00
   -1.859100,  3.9062500000E-01,  7.8622704481E+00
   -1.859100,  4.0625000000E-01,  7.8282747336E+00
   -1.859100,  4.2187500000E-01,  7.7931844366E+00
   -1.859100,  4.3750000000E-01,  7.7570252689E+00
   -1.859100,  4.5312500000E-01,  7.7198235827E+00
   -1.859100,  4.6875000000E-01,  7.6816063370E+00
   -1.859100,  4.8437500000E-01,  7.6424010635E+00
   -1.232877, -5.0000000000E-01,  1.8904364405E+01
   -1.232877, -4.8437500000E-01,  1.9071740246E+01
   -1.232877, -4.6875000000E-01,  1.9235507973E+01
   -1.232877, -4.5312500000E-01,  1.9395516931E+01
   -1.232877, -4.3750000000E-01,  1.9551619134E+01
   -1.232877, -4.2187500000E-01,  1.9703669474E+01
   -1.232877, -4.0625000000E-01,  1.9851525919E+01
   -1.232877, -3.9062500000E-01,  1.9995049717E+01
   -1.232877, -3.7500000000E-01,  2.0134105591E+01
   -1.232877, -3.5937500000E-01,  2.0268561923E+01
   -1.232877, -3.4375000000E-01,  2.0398290949E+01
   -1.232877, -3.2812500000E-01,  2.0523168931E+01
   -1.232877, -3.1250000000E-01,  2.0643076334E+01
   -1.232877, -2.9687500000E-01,  2.0757897998E+01
   -1.232877, -2.8125000000E-01,  2.0867523295E+01
   -1.232877, -2.6562500000E-01,  2.0971846290E+01
   -1.232877, -2.5000000000E-01,  2.1070765889E+01
   -1.232877, -2.3437500000E-01,  2.1164185983E+01
   -1.232877, -2.1875000000E-01,  2.1252015581E+01
   -1.232877, -2.0312500000E-01,  2.1334168945E+01
   -1.232877, -1.8750000000E-01,  2.1410565708E+01
   -1.232877, -1.7187500000E-01,  2.1481130985E+01
   -1.232877, -1.5625000000E-01,  2.1545795488E+01
   -1.232877, -1.4062500000E-01,  2.1604495616E+01
   -1.232877, -1.2500000000E-01,  2.1657173549E+01
   -1.232877, -1.0937500000E-01,  2.1703777331E+01
   -1.232877, -9.3750000000E-02,  2.1744260942E+01
   -1.232877, -7.8125000000E-02,  2.1778584367E+01
   -1.232877, -6.2500000000E-02,  2.1806713646E+01
   -1.232877, -4.6875000000E-02,  2.1828620931E+01
   -1.232877, -3.1250000000E-02,  2.1844284520E+01
   -1.232877, -1.5625000000E-02,  2.1853688889E+01
   -1.232877,  0.0000000000E+00,  2.1856824715E+01
   -1.232877,  1.5625000000E-02,  2.1853688889E+01
   -1.232877,  3.1250000000E-02,  2.1844284520E+01
   -1.232877,  4.6875000000E-02,  2.1828620931E+01
   -1.232877,  6.2500000000E-02,  2.1806713646E+01
   -1.232877,  7.8125000000E-02,  2.1778584367E+01
   -1.232877,  9.3750000000E-02,  2.1744260942E+01
   -1.232877,  1.0937500000E-01,  2.1703777331E+01
   -1.232877,  1.2500000000E-01,  2.1657173549E+01
   -1.232877,  1.4062500000E-01,  2.1604495616E+01
   -1.232877,  1.5625000000E-01,  2.1545795488E+01
   -1.232877,  1.7187500000E-01,  2.1481130985E+01
   -1.232877,  1.8750000000E-01,  2.1410565708E+01
   -1.232877,  2.0312500000E-01,  2.1334168945E+01
   -1.232877,  2.1875000000E-01,  2.1252015581E+01
   -1.232877,  2.3437500000E-01,  2.1164185983E+01
   -1.232877,  2.5000000000E-01,  2.1070765889E+01
   -1.232877,  2.6562500000E-01,  2.0971846290E+01
   -1.232877,  2.8125000000E-01,  2.0867523295E+01
   -1.232877,  2.9687500000E-01,  2.0757897998E+01
   -1.232877,  3.1250000000E-01,  2.0643076334E+01
   -1.232877,  3.2812500000E-01,  2.0523168931E+01
   -1.232877,  3.4375000000E-01,  2.0398290949E+01
   -1.232877,  3.5937500000E-01,  2.0268561923E+01
   -1.232877,  3.7500000000E-01,  2.0134105591E+01
   -1.232877,  3.9062500000E-01,  1.9995049717E+01
   -1.232877,  4.0625000000E-01,  1.9851525919E+01
   -1.232877,  4.2187500000E-01,  1.9703669474E+01
   -1.232877,  4.3750000000E-01,  1.9551619134E+01
   -1.232877,  4.5312500000E-01,  1.9395516931E+01
   -1.232877,  4.6875000000E-01,  1.9235507973E+01
   -1.232877,  4.8437500000E-01,  1.9071740246E+01
   -0.606654, -5.0000000000E-01,  2.8288822284E+01
   -0.606654, -4.8437500000E-01,  2.8683185503E+01
   -0.606654, -4.6875000000E-01,  2.9069662460E+01
   -0.606654, -4.5312500000E-01,  2.9447844079E+01
   -0.606654, -4.3750000000E-01,  2.9817328523E+01
   -0.606654, -4.2187500000E-01,  3.0177721752E+01
   -0.606654, -4.0625000000E-01,  3.0528638071E+01
   -0.606654, -3.9062500000E-01,  3.0869700664E+01
   -0.606654, -3.7500000000E-01,  3.1200542123E+01
   -0.606654, -3.5937500000E-01,  3.1520804957E+01
   -0.606654, -3.4375000000E-01,  3.1830142102E+01
   -0.606654, -3.2812500000E-01,  3.2128217404E+01
   -0.606654, -3.1250000000E-01,  3.2414706094E+01
   -0.606654, -2.9687500000E-01,  3.2689295250E+01
   -0.606654, -2.8125000000E-01,  3.2951684241E+01
   -0.606654, -2.6562500000E-01,  3.3201585154E+01
   -0.606654, -2.5000000000E-01,  3.3438723202E+01
   -0.606654, -2.3437500000E-01,  3.3662837119E+01
   -0.606654, -2.1875000000E-01,  3.3873679535E+01
   -0.606654, -2.0312500000E-01,  3.4071017326E+01
   -0.606654, -1.8750000000E-01,  3.4254631952E+01
   -0.606654, -1.7187500000E-01,  3.4424319771E+01
   -0.606654, -1.5625000000E-01,  3.4579892331E+01
   -0.606654, -1.4062500000E-01,  3.4721176640E+01
   -0.606654, -1.2500000000E-01,  3.4848015420E+01
   -0.606654, -1.0937500000E-01,  3.4960267331E+01
   -0.606654, -9.3750000000E-02,  3.5057807174E+01
   -0.606654, -7.8125000000E-02,  3.5140526076E+01
   -0.606654, -6.2500000000E-02,  3.5208331644E+01
   -0.606654, -4.6875000000E-02,  3.5261148101E+01
   -0.606654, -3.1250000000E-02,  3.5298916396E+01
   -0.606654, -1.5625000000E-02,  3.5321594286E+01
